id;name;num_screens;num_seats;insee;commune;genre;art_et_essai;3D_screen
12;GEORGE V;11;1_666;75108;Paris 8e Arrondissement;FIXE;0;1
31;UGC NORMANDIE;4;1_610;75108;Paris 8e Arrondissement;FIXE;0;1
35;BALZAC;3;589;75108;Paris 8e Arrondissement;FIXE;1;1
54;GAUMONT CHAMPS ELYSEES MARIGNAN;6;1_701;75108;Paris 8e Arrondissement;FIXE;0;1
55;ELYSEES LINCOLN;3;448;75108;Paris 8e Arrondissement;FIXE;1;0
204; UGC OPERA;4;760;75109;Paris 9e Arrondissement;FIXE;0;0
214;GAUMONT OPERA CAPUCINES;7;2_169;75109;Paris 9e Arrondissement;FIXE;0;1
301;MAX LINDER;1;591;75109;Paris 9e Arrondissement;FIXE;0;0
311;GRAND REX;7;4_274;75102;Paris 2e Arrondissement;FIXE;0;1
321;GAUMONT OPERA PREMIER;6;1_138;75102;Paris 2e Arrondissement;FIXE;0;0
451;UGC MONTPARNASSE;7;1_592;75106;Paris 6e Arrondissement;FIXE;0;1
481;GAUMONT PARNASSE;15;2_876;75114;Paris 14e Arrondissement;FIXE;0;1
483;ENTREPOT;3;250;75114;Paris 14e Arrondissement;FIXE;1;0
531;MK2 BEAUBOURG;6;557;75103;Paris 3e Arrondissement;FIXE;1;1
612;UGC MAILLOT;4;764;75117;Paris 17e Arrondissement;FIXE;0;0
721;MK2 HAUTEFEUILLE;4;690;75106;Paris 6e Arrondissement;FIXE;1;1
731;MK2 ODEON;5;815;75106;Paris 6e Arrondissement;FIXE;0;1
733;STUDIO GALANDE;1;97;75105;Paris 5e Arrondissement;FIXE;1;0
741;LUXEMBOURG;3;334;75106;Paris 6e Arrondissement;FIXE;1;0
751;ST ANDRE DES ARTS;3;510;75106;Paris 6e Arrondissement;FIXE;1;0
801;MK2 PARNASSE;3;284;75106;Paris 6e Arrondissement;FIXE;1;1
802;UGC ROTONDE;3;454;75106;Paris 6e Arrondissement;FIXE;0;0
803;BRETAGNE;2;1_020;75106;Paris 6e Arrondissement;FIXE;0;1
814;LUCERNAIRE FORUM;3;148;75106;Paris 6e Arrondissement;FIXE;1;0
821;PARNASSIEN;7;842;75114;Paris 14e Arrondissement;FIXE;1;1
883; CHRISTINE 21;2;234;75106;Paris 6e Arrondissement;FIXE;1;0
891;ST GERMAIN DES PRES;1;252;75106;Paris 6e Arrondissement;FIXE;1;0
1031;PUBLICIS ELYSEES;2;609;75108;Paris 8e Arrondissement;FIXE;0;0
1314;LE BEVERLEY;1;100;75102;Paris 2e Arrondissement;FIXE;0;0
1392;L'ARCHIPEL;2;204;75110;Paris 10e Arrondissement;FIXE;1;0
1393;LE BRADY;2;139;75110;Paris 10e Arrondissement;FIXE;1;0
1681;UGC CINE CITE LES HALLES;27;3_894;75101;Paris 1er Arrondissement;FIXE;0;1
1791;LUMINOR HOTEL DE VILLE;2;238;75104;Paris 4e Arrondissement;FIXE;1;0
2251;MAJESTIC PASSY;3;617;75116;Paris 16e Arrondissement;FIXE;0;1
2543;MAC MAHON;1;137;75117;Paris 17e Arrondissement;FIXE;0;1
2982;CAUMARTIN;5;501;75109;Paris 9e Arrondissement;FIXE;1;0
3211;LE CINEMA DES CINEASTES;3;478;75117;Paris 17e Arrondissement;FIXE;1;1
3222;PATHE WEPLER;12;2_139;75118;Paris 18e Arrondissement;FIXE;0;1
3741;STUDIO 28;1;172;75118;Paris 18e Arrondissement;FIXE;1;0
4713;BORIS VIAN GRANDE HALLE;1;287;75119;Paris 19e Arrondissement;FIXE;0;0
4731;MK2 QUAI DE SEINE;6;992;75119;Paris 19e Arrondissement;FIXE;1;1
5691;MK2 GAMBETTA;6;1_238;75120;Paris 20e Arrondissement;FIXE;0;1
5841;MK2 BASTILLE (côté Fg St Antoine);3;430;75111;Paris 11e Arrondissement;FIXE;1;0
5852;MAJESTIC BASTILLE;2;356;75111;Paris 11e Arrondissement;FIXE;1;0
5861;MK2 BASTILLE;4;469;75111;Paris 11e Arrondissement;FIXE;1;1
6212;MK2 NATION;6;551;75112;Paris 12e Arrondissement;FIXE;0;0
6531;UGC LYON BASTILLE;7;1_274;75112;Paris 12e Arrondissement;FIXE;0;1
6611;UGC CINE CITE BERCY;18;4_440;75112;Paris 12e Arrondissement;FIXE;0;1
7231;CHAPLIN SAINT LAMBERT;3;365;75115;Paris 15e Arrondissement;FIXE;1;1
7394;GAUMONT CONVENTION;9;1_263;75115;Paris 15e Arrondissement;FIXE;0;1
7491;GAUMONT AQUABOULEVARD;14;2_583;75115;Paris 15e Arrondissement;FIXE;0;1
7711;GAUMONT MONTPARNOS;4;397;75114;Paris 14e Arrondissement;FIXE;0;0
8132;GAUMONT ALESIA;8;1_384;75114;Paris 14e Arrondissement;FIXE;0;1
8161; CHAPLIN DENFERT;1;133;75114;Paris 14e Arrondissement;FIXE;1;0
8291;L ARLEQUIN PANORAMA;3;595;75106;Paris 6e Arrondissement;FIXE;1;0
8331;UGC DANTON;4;684;75106;Paris 6e Arrondissement;FIXE;0;1
8341;NOUVEL ODEON;1;119;75106;Paris 6e Arrondissement;FIXE;1;0
8353;UGC ODEON;5;722;75106;Paris 6e Arrondissement;FIXE;0;0
8361;ESPACE SAINT MICHEL;2;210;75105;Paris 5e Arrondissement;FIXE;1;0
8374;ECOLES 21;2;200;75105;Paris 5e Arrondissement;FIXE;1;0
8391;LE CINEMA DU PANTHEON;1;200;75105;Paris 5e Arrondissement;FIXE;1;0
8392;STUDIO LUXEMBOURG ACCATTONE;1;73;75105;Paris 5e Arrondissement;FIXE;1;0
8422;LE CHAMPO;2;236;75105;Paris 5e Arrondissement;FIXE;1;0
8425;QUARTIER LATIN I;2;164;75105;Paris 5e Arrondissement;FIXE;1;0
8451;STUDIO DES URSULINES;1;122;75105;Paris 5e Arrondissement;FIXE;1;0
8513;REFLET MEDICIS 2;3;372;75105;Paris 5e Arrondissement;FIXE;1;0
8514;EPEE DE BOIS;2;140;75105;Paris 5e Arrondissement;FIXE;1;1
8531;LE GRAND ACTION;2;346;75105;Paris 5e Arrondissement;FIXE;1;0
8621;LES FAUVETTES;5;645;75113;Paris 13e Arrondissement;FIXE;0;1
8632;UGC  GOBELINS;11;1_138;75113;Paris 13e Arrondissement;FIXE;0;1
8661;ESCURIAL;2;329;75113;Paris 13e Arrondissement;FIXE;1;0
9351;MK2 GRAND PALAIS;1;92;75108;Paris 8e Arrondissement;FIXE;0;0
9452;LE LOUXOR;3;556;75110;Paris 10e Arrondissement;FIXE;1;0
9600;MK2 BIBLIOTHEQUE;16;2_981;75113;Paris 13e Arrondissement;FIXE;0;1
9616;MK2 A&E;4;520;75113;Paris 13e Arrondissement;FIXE;0;1
9700;PATHE BEAUGRENELLE;10;1_962;75115;Paris 15e Arrondissement;FIXE;0;1
9802;CLUB DE L ETOILE;1;161;75117;Paris 17e Arrondissement;FIXE;0;1
9803;LES 7 BATIGNOLLES CINEMOVIDA;7;1_151;75117;Paris 17e Arrondissement;FIXE;0;0
9900;MK2 QUAI DE LOIRE;6;1_108;75119;Paris 19e Arrondissement;FIXE;0;1
9906;UGC CINE CITE PARIS 19;14;2_790;75119;Paris 19e Arrondissement;FIXE;0;1
9920;PATHE;16;2_901;75119;Paris 19e Arrondissement;FIXE;0;1
9950;CGR PARIS LILAS;7;1_480;75120;Paris 20e Arrondissement;FIXE;0;1
10992;PANDORA;3;257;78005;Achères;FIXE;1;1
14693;LE POLE CULTUREL;1;410;94002;Alfortville;FIXE;0;0
20931;LE SELECT;4;665;92002;Antony;FIXE;1;1
22634;JEAN VILAR;2;328;94003;Arcueil;FIXE;1;1
22636;MEGARAMA;6;781;94003;Arcueil;FIXE;0;1
23301;JEAN GABIN;1;128;95018;Argenteuil;FIXE;1;0
23323;LE FIGUIER BLANC;3;826;95018;Argenteuil;FIXE;1;1
24753;STARS;5;829;91021;Arpajon;FIXE;0;1
26662;L ALCAZAR;4;646;92004;Asnières-sur-Seine;FIXE;1;1
27573;CINEMA VENTURA;1;175;91027;Athis-Mons;FIXE;1;1
28113;PAUL GRIMAULT;1;169;78029;Aubergenville;FIXE;0;1
28264;STUDIO;1;127;93001;Aubervilliers;FIXE;1;0
